date, pm25, pm10, o3, no2, so2, co
2019/3/20, 43, 45, , , , 
2019/3/21, 49, 36, , , , 
2019/3/22, 44, 35, , , , 
2019/3/23, 34, 29, , , , 
2019/3/24, 32, 32, , , , 
2019/3/25, 33, 46, , , , 
2019/3/26, 41, 52, , , , 
2019/3/27, 47, 31, , , , 
2019/3/28, 48, 34, , , , 
2019/3/29, 30, 47, , , , 
2019/3/30, 41, 65, , , , 
2019/3/31, 57, 45, , , , 
2019/4/1, 59, 36, , , , 
2018/10/2, 56, , , , , 
2018/10/3, 63, , , , , 
2018/10/4, 73, , , , , 
2018/10/5, 75, , , , , 
2018/10/6, 78, , , , , 
2018/10/7, 64, , , , , 
2018/10/8, 56, , , , , 
2018/10/9, 49, , , , , 
2018/10/10, 60, , , , , 
2018/10/11, 59, , , , , 
2018/10/12, 65, , , , , 
2018/10/13, 56, , , , , 
2018/10/14, 60, , , , , 
2018/10/15, 60, , , , , 
2018/10/16, 46, , , , , 
2018/10/17, 52, , , , , 
2018/10/18, 46, , , , , 
2018/10/19, 51, , , , , 
2018/10/20, 59, , , , , 
2018/10/21, 54, , , , , 
2018/10/22, 53, , , , , 
2018/10/23, 61, , , , , 
2018/10/24, 67, , , , , 
2018/10/25, 58, , , , , 
2018/10/26, 52, , , , , 
2018/10/27, 46, , , , , 
2018/10/28, 41, , , , , 
2018/10/29, 42, , , , , 
2018/10/30, 40, , , , , 
2018/10/31, 39, , , , , 
2018/11/1, 53, , , , , 
2018/11/2, 57, , , , , 
2018/11/3, 50, , , , , 
2018/11/4, 50, , , , , 
2018/11/5, 41, , , , , 
2018/11/6, 63, , , , , 
2018/11/7, 71, , , , , 
2018/11/8, 80, , , , , 
2018/11/18, 2, , , , , 
2018/11/19, 3, , , , , 
2018/11/20, 4, , , , , 
2018/11/22, 17, , , , , 
2018/11/23, 22, , , , , 
2018/11/24, 42, , , , , 
2018/11/27, 42, 26, , , , 
2018/11/28, 40, 26, , , , 
2018/11/29, 39, 27, , , , 
2018/11/30, 42, 29, , , , 
2018/12/1, 39, 46, , , , 
2018/12/2, 56, 42, , , , 
2018/12/3, 62, 35, , , , 
2018/12/4, 53, 35, , , , 
2018/12/5, 52, 41, , , , 
2018/12/6, 52, 48, , , , 
2018/12/7, 55, 40, , , , 
2018/12/8, 56, 27, , , , 
2018/12/9, 42, 19, , , , 
2018/12/10, 28, 23, , , , 
2018/12/11, 29, 14, , , , 
2018/12/12, 28, 23, , , , 
2018/12/13, 30, 18, , , , 
2018/12/14, 24, 16, , , , 
2018/12/15, 24, 19, , , , 
2018/12/16, 24, 17, , , , 
2018/12/17, 24, 34, , , , 
2018/12/18, 27, 49, , , , 
2018/12/19, 45, 34, , , , 
2018/12/20, 46, 28, , , , 
2018/12/21, 30, 36, , , , 
2018/12/22, 37, 29, , , , 
2018/12/23, 38, 32, , , , 
2018/12/24, 46, 38, , , , 
2018/12/25, 49, 24, , , , 
2018/12/26, 41, 34, , , , 
2018/12/27, 75, 23, , , , 
2018/12/28, 36, 20, , , , 
2018/12/29, 29, 21, , , , 
