date, pm25, pm10, o3, no2, so2, co
2015/1/29, 74, 56, , 5, 7, 16
2015/1/30, 66, 54, , 3, 14, 16
2015/1/31, 63, 52, , 4, 16, 15
2015/2/1, 62, 54, , 3, 18, 14
2015/2/2, 60, 64, , 3, 22, 14
2015/2/3, 81, 68, , 4, 15, 25
2015/2/4, 97, 62, , 4, 15, 21
2015/2/5, 79, 59, , 3, 13, 19
2015/2/6, 72, 64, , 4, 6, 14
2015/2/7, 65, 52, , 3, 9, 19
2015/2/8, 59, 60, , 2, 47, 8
2015/2/9, 74, 56, , 4, 21, 12
2015/2/10, 64, 67, , 7, 12, 12
2015/2/11, 84, 64, , 6, 16, 8
2015/2/12, 93, 77, , 8, 18, 16
2015/2/13, 123, 92, , 11, 18, 24
2015/2/14, 152, 70, , 5, 13, 15
2015/2/15, 106, 58, , 3, 11, 15
2015/2/16, 81, 55, , 5, 11, 17
2015/2/17, 79, 84, , 5, 10, 28
2015/2/18, 96, 134, , 8, 10, 17
2015/2/19, 140, 97, , 9, 7, 18
2015/2/20, 129, 58, , 11, 9, 12
2015/2/21, 90, 56, , 10, 5, 12
2015/2/22, 71, 41, , 10, 7, 11
2015/2/23, 67, 43, , 9, 6, 11
2015/2/24, 74, 34, , 4, 7, 9
2015/2/25, 49, 36, , 6, 5, 11
2015/2/26, 53, 13, , 5, 4, 10
2015/2/27, 27, 8, , 11, 6, 11
2015/2/28, 12, 8, , 9, 5, 11
2015/3/1, 13, 6, , 6, 4, 10
2015/3/2, 11, 8, , 5, 6, 15
2015/3/3, 13, 12, , 6, 13, 16
2015/3/4, 17, 15, , 3, 5, 15
2015/3/5, 17, 9, , 7, 11, 10
2015/3/6, 18, 9, , 6, 6, 17
2015/3/7, 17, 8, , 5, 6, 12
2015/3/8, 13, 6, , 4, 14, 10
2015/3/9, 14, 12, , 8, 10, 11
2015/3/10, 23, 14, , 5, 13, 11
2015/3/11, 24, 14, , 5, 24, 29
2015/3/12, 22, 14, , 7, 17, 31
2015/3/13, 20, 15, , 7, 16, 30
2015/3/14, 17, 15, , 8, 14, 20
2015/3/15, 17, 12, , 6, 13, 17
2015/3/16, 18, 11, , 7, 7, 21
2015/3/17, 19, 8, , 6, 5, 15
2015/3/18, 13, 9, , 7, 9, 21
2015/3/19, 15, 15, , 12, 13, 15
2015/3/20, 21, 14, , 8, 7, 16
2015/3/21, 19, 12, , 9, 4, 13
