date, pm25, pm10, o3, no2, so2, co
2016/3/8, 50, 58, 14, 13, , 3
2016/3/9, 64, 76, 34, 19, , 5
2016/3/10, 85, 85, 40, 30, , 9
2016/3/11, 75, 69, 38, 29, , 8
2016/3/12, 73, 53, 40, 19, , 5
2016/3/13, 74, 47, 24, 13, , 4
2016/3/14, 71, 70, 38, 16, , 5
2016/3/15, 71, 72, 37, 24, , 8
2016/3/16, 78, 80, 41, 23, , 7
2016/3/17, 77, 62, 34, 22, , 7
2016/3/18, 68, 65, 24, 13, , 2
2016/3/19, 82, 70, 38, 25, , 6
2016/3/20, 72, 61, 35, 21, , 5
2016/3/21, 70, 61, 40, 19, , 3
2016/3/22, 68, 82, 35, 20, , 4
2016/3/23, 80, 66, 48, 27, , 6
2016/3/24, 95, 70, 23, 21, , 4
2016/3/25, 90, 67, 29, 23, , 7
2016/3/26, 95, 66, 56, 22, , 5
2016/3/27, 89, 62, 34, 17, , 3
2016/3/28, 98, 58, 43, 17, , 3
2016/3/29, 85, 54, 22, 23, , 4
2016/3/30, 80, 56, 18, 18, , 4
2016/3/31, 83, 68, 17, 23, , 5
2016/4/1, 79, 72, 21, 29, , 6
2015/10/2, 61, 16, 16, 13, , 3
2015/10/3, 45, , 15, 6, , 4
2015/10/5, 59, 21, 9, 11, , 3
2015/10/6, 56, 27, 13, 8, , 3
2015/10/7, 53, 26, 21, 6, , 2
2015/10/8, 50, 33, 20, 13, , 3
2015/10/9, 53, 42, 28, 12, , 3
2015/10/10, 65, 44, 32, 14, , 5
2015/10/11, 70, 45, 18, 17, , 9
2015/10/12, 77, , , , , 
2015/10/15, 41, 18, 22, 11, , 4
2015/10/16, 46, 31, 8, 17, , 5
2015/10/17, 58, 58, 11, 22, , 19
2015/10/18, 102, , 37, 4, , 5
2015/10/20, 59, 23, 17, 13, , 8
2015/10/21, 65, 31, 24, 9, , 2
2015/10/22, 58, 41, 17, 17, , 6
2015/10/23, 58, , 30, 6, , 
2015/10/25, 49, 29, 23, 9, , 5
2015/10/26, 49, 26, 26, 7, , 4
2015/10/27, 39, , 21, 7, , 5
2015/10/29, 51, 33, 22, 8, , 3
2015/10/30, 59, 37, 34, 8, , 3
2015/10/31, 55, 51, 15, 14, , 3
2015/11/1, 59, , 29, 2, , 4
2015/11/3, 57, 34, 26, 5, , 3
2015/11/4, 68, 37, 30, 8, , 3
2015/11/5, 56, 56, 36, 13, , 5
2015/11/6, 66, 55, 26, 6, , 3
2015/11/7, 74, 45, 19, 4, , 3
2015/11/8, 62, 31, 15, 4, , 4
2015/11/9, 59, 23, 22, 5, , 2
2015/11/10, 43, 35, 27, 7, , 3
2015/11/11, 36, 40, 24, 9, , 2
2015/11/12, 42, 28, 30, 14, , 3
2015/11/13, 38, 36, 39, 23, , 6
2015/11/14, 62, 45, 39, 16, , 3
2015/11/15, 62, 33, 27, 8, , 2
2015/11/16, 47, 29, 20, 9, , 1
2015/11/17, 35, 31, 25, 10, , 2
2015/11/18, 36, 35, 19, 9, , 2
2015/11/19, 33, 30, 25, 10, , 1
2015/11/20, 28, 41, 35, 17, , 3
2015/11/21, 45, 45, 28, 10, , 3
2015/11/22, 47, 32, 26, 8, , 2
2015/11/23, 39, 31, 24, 9, , 2
2015/11/24, 40, 32, 18, 8, , 2
2015/11/25, 26, 31, 21, 9, , 2
2015/11/26, 25, 33, 17, 9, , 1
2015/11/27, 20, 35, 27, 9, , 
2015/11/28, 27, 43, 35, 12, , 1
2015/11/29, 42, 47, 44, 13, , 3
2015/11/30, 54, 48, 27, 12, , 1
2015/12/1, 56, 49, 29, 11, , 1
2015/12/2, 59, 42, 17, 8, , 1
2015/12/3, 54, 39, 33, 13, , 1
